Fecha,Casa,Visitante,Ganador V1,Ganador V2,Ganador V3,Ganador Final
11/03/2024,Golden State Warriors,Chicago Bulls,Golden State Warriors,Golden State Warriors,SIN DEFINIR,Desconocido
11/03/2024,Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,Los Angeles Lakers,SIN DEFINIR,Minnesota Timberwolves
14/03/2024,Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,Milwaukee Bucks,SIN DEFINIR,Desconocido
14/03/2024,Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,Milwaukee Bucks,SIN DEFINIR,Desconocido
14/03/2024,Golden State Warriors,Chicago Bulls,Golden State Warriors,Golden State Warriors,SIN DEFINIR,Desconocido
14/03/2024,Golden State Warriors,Chicago Bulls,Golden State Warriors,Golden State Warriors,SIN DEFINIR,Desconocido
14/03/2024,Golden State Warriors,Chicago Bulls,Golden State Warriors,Golden State Warriors,SIN DEFINIR,Desconocido
14/03/2024,Golden State Warriors,Chicago Bulls,Golden State Warriors,Golden State Warriors,SIN DEFINIR,Desconocido
14/03/2024,Golden State Warriors,Chicago Bulls,Golden State Warriors,Golden State Warriors,SIN DEFINIR,Desconocido
14/03/2024,Golden State Warriors,Chicago Bulls,Golden State Warriors,Golden State Warriors,SIN DEFINIR,Desconocido
14/03/2024,Golden State Warriors,Toronto Raptors,Golden State Warriors,Golden State Warriors,SIN DEFINIR,Desconocido
14/03/2024,Chicago Bulls,Boston Celtics,Boston Celtics,Boston Celtics,SIN DEFINIR,Desconocido
